"","SNP Name","Position (cM)","Mean LOD","Mean P Value","Variance LOD","Variance P Value","Joint LOD","Joint P Value","Mean Est Intercept","Mean SE Intercept","Var Est Intercept","Var SE Intercept","Mean Est QTL","Mean SE QTL","Var Est QTL","Var SE QTL","Mean Est plotstructure","Mean SE plotstructure","A Mean Est","A Mean Lower Bound","A Mean Upper Bound","A Standard Deviation Est","A Standard Deviation Lower Bound","A Standard Deviation Upper Bound","B Mean Est","B Mean Lower Bound","B Mean Upper Bound","B Standard Deviation Est","B Standard Deviation Lower Bound","B Standard Deviation Upper Bound"
"1","gpm27",0.01,2.74930710370414,0.252927206789892,7.61952811305791,0.0221534052917933,8.15574903014678,0.0860366643799197,61.8462779296478,0.969878148729011,5.11384426740896,0.171548725525642,-0.012361155291853,0.304626774984027,-0.143817713023036,-0.143817713023036,-0.970954743891314,0.605621756970031,60.6119073869901,60.6119073869901,60.6119073869901,60.6119073869901,60.6119073869901,60.6119073869901,60.6119073869901,60.6119073869901,60.6119073869901,60.6119073869901,60.6119073869901,60.6119073869901
"2","tub1",0.81,4.17909934769242,0.123742847912966,8.96658376794933,0.0112961662134653,10.2694303034582,0.0361256729380501,61.6803743953933,0.967415915850814,5.10544905594067,0.184473027497375,0.140838251421063,0.302697253845824,-0.142587570331476,-0.142587570331476,-0.939612319814612,0.604735222953156,60.1514841351075,60.1514841351075,60.1514841351075,60.1514841351075,60.1514841351075,60.1514841351075,60.1514841351075,60.1514841351075,60.1514841351075,60.1514841351075,60.1514841351075,60.1514841351075
"3","gpm113b",0.82,4.06251471484061,0.131170489230223,8.96182765917345,0.0113230610771458,10.1572346684986,0.037860759363274,61.6957815070078,0.967578244136519,5.10523121980022,0.184379812166104,0.138636923632066,0.302706495820199,-0.142905361492587,-0.142905361492587,-0.948877177785532,0.604875045821263,60.3143483023001,60.3143483023001,60.3143483023001,60.3143483023001,60.3143483023001,60.3143483023001,60.3143483023001,60.3143483023001,60.3143483023001,60.3143483023001,60.3143483023001,60.3143483023001
"4","gpm705a",0.84,3.84097696205392,0.146535364899297,7.77457667112453,0.0205008621922785,8.86119872614008,0.064664051166976,61.8930825788042,0.969545751655545,5.09934109107308,0.174174653090531,-0.0335851773645967,0.305343781384235,-0.131256808869477,-0.131256808869477,-0.95892356868457,0.605912803409714,61.1146993318485,61.1146993318485,61.1146993318485,61.1146993318485,61.1146993318485,61.1146993318485,61.1146993318485,61.1146993318485,61.1146993318485,61.1146993318485,61.1146993318485,61.1146993318485
"5","gpm325a",4.97,4.98325017900905,0.0827753398785147,5.37812043178476,0.0679447627852108,7.89743820231565,0.0954082405329565,62.1710508845735,0.961529123221376,5.07447605027825,0.147764362954846,-0.450137418475057,0.303102088424121,-0.0980739020794558,-0.0980739020794558,-0.856058142889671,0.598826142961204,60.362,60.362,60.362,60.362,60.362,60.362,60.362,60.362,60.362,60.362,60.362,60.362
"6","dmt103b",6.89,4.65381087669825,0.097597301125399,6.52918813900836,0.0382124435319404,8.26319367362257,0.0823991669595378,62.4786745663137,0.970745870844609,5.07696074253993,0.147074292827288,-0.500187922538679,0.302544252883741,-0.0967692996262665,-0.0967692996262665,-1.00229427792703,0.607217757391655,60.0277777777778,60.0277777777778,60.0277777777778,60.0277777777778,60.0277777777778,60.0277777777778,60.0277777777778,60.0277777777778,60.0277777777778,60.0277777777778,60.0277777777778,60.0277777777778
"7","gpm699d",8.67,1.91026437120658,0.384761281289266,2.03292189051608,0.361873366281669,3.88115849352293,0.422328149316308,62.9940955361607,0.964706380079456,5.04530710632781,0.156310559743555,-0.618356098007529,0.303457586718239,-0.0857333374602587,-0.0857333374602587,-1.12180206492693,0.60264654901268,60.9003215434084,60.9003215434084,60.9003215434084,60.9003215434084,60.9003215434084,60.9003215434084,60.9003215434084,60.9003215434084,60.9003215434084,60.9003215434084,60.9003215434084,60.9003215434084
"8","gpm319",14.82,5.55406195398187,0.0622229748417747,2.58421306137749,0.274691527061961,9.17284226152389,0.0569214930355971,63.545995172788,0.953782563221686,5.02936701611484,0.14905970945069,-1.08437842236312,0.305476160831976,-0.0788618556191146,-0.0788618556191146,-0.982176906347358,0.597789657421787,59.9036511156187,59.9036511156187,59.9036511156187,59.9036511156187,59.9036511156187,59.9036511156187,59.9036511156187,59.9036511156187,59.9036511156187,59.9036511156187,59.9036511156187,59.9036511156187
"9","IDP1447",19.92,3.5553867008706,0.169027585353507,4.80049998864531,0.0906952771506985,6.3633012989385,0.173609876053582,62.3250309770458,0.949144277377857,5.02159484041945,0.143052647609875,-0.576703324849034,0.297677795515552,-0.0333453332063062,-0.0333453332063062,-0.884623638726638,0.611064444821912,59.6767068273092,59.6767068273092,59.6767068273092,59.6767068273092,59.6767068273092,59.6767068273092,59.6767068273092,59.6767068273092,59.6767068273092,59.6767068273092,59.6767068273092,59.6767068273092
"10","bnl5.62a",21.12,5.00952375185152,0.0816950492272644,4.60870736930929,0.0998232971376037,6.713346187704,0.151834467732704,62.4431708498413,0.94223592757695,4.99795625657526,0.142550034255963,-0.627163297941406,0.29660676624403,-0.0276321918249119,-0.0276321918249119,-0.915896722062863,0.60912640409858,59.7148803329865,59.7148803329865,59.7148803329865,59.7148803329865,59.7148803329865,59.7148803329865,59.7148803329865,59.7148803329865,59.7148803329865,59.7148803329865,59.7148803329865,59.7148803329865
