"SNP Name","Position (cM)","Mean LOD","Mean P Value","Variance LOD","Variance P Value","Joint LOD","Joint P Value","A Mean Est","A Mean Lower Bound","A Mean Upper Bound","A Standard Deviation Est","A Standard Deviation Lower Bound","A Standard Deviation Upper Bound","B Mean Est","B Mean Lower Bound","B Mean Upper Bound","B Standard Deviation Est","B Standard Deviation Lower Bound","B Standard Deviation Upper Bound"
"gpm27",0.01,2.74930710370256,0.252927206790092,7.6195281130587,0.0221534052917846,8.15574903014678,0.0860366643799197,60.6119073869904,60.2073256696156,61.0164891043651,9.86939472636915,9.17914385560485,10.6115509024741,62.2240099009904,61.7318324585029,62.7161873434778,11.2011382321034,10.3729070913968,12.0954999971751
"tub1",0.81,4.17909934769006,0.123742847913112,8.96658376794696,0.0112961662134786,10.2694303034574,0.036125672938062,60.1514841351055,59.7468117816651,60.556156488546,11.1121587996814,10.3877400283289,11.8870969866966,60.4052356020923,59.9381163897747,60.87235481441,12.5967745212668,11.7664832940191,13.4856544963008
"gpm113b",0.82,4.06251471483903,0.131170489230327,8.96182765917345,0.0113230610771458,10.157234668497,0.037860759363299,60.3143483022992,59.9070940195609,60.7216025850376,10.4466602018375,9.7326780108491,11.2130196078618,62.4524456521731,61.9405752517729,62.9643160525733,11.6966633069564,10.809831594328,12.6562501295661
"gpm705a",0.84,3.84097696205234,0.146535364899413,7.77457667112374,0.0205008621922866,8.86119872613929,0.0646640511669968,61.1146993318477,60.683805934313,61.5455927293825,7.17473537699678,6.57938954831038,7.82395195662927,62.0286697247697,61.5853958690274,62.4719435805121,7.25051515153049,6.64036334850304,7.91673093828883
"gpm325a",4.97,4.98325017900668,0.0827753398786128,5.37812043178239,0.0679447627852913,7.89743820231249,0.0954082405330768,60.3619999999981,59.9544367612772,60.769563238719,10.795716973306,10.0866103305108,11.5546750740618,62.5287637698879,62.057636197781,62.9998913419949,11.2457715310113,10.4314645862808,12.1236453694173
"dmt103b",6.89,4.65381087669667,0.0975973011254761,6.52918813900757,0.0382124435319555,8.26319367362257,0.0823991669595378,60.0277777777766,59.6430082940495,60.4125472615036,7.82750628525678,7.26711033596679,8.4311166079995,61.0691609977312,60.5859035488523,61.5524184466101,8.55482804450822,7.86903500433885,9.30038852676999
"gpm699d",8.67,1.91026437120658,0.384761281289266,2.0329218905145,0.361873366281955,3.88115849352214,0.422328149316418,60.9003215434073,60.4898320577569,61.3108110290576,8.57186177010107,7.93620240974929,9.25843500607509,62.3961117861472,61.9169840412022,62.8752395310922,9.26806882040007,8.53808921014156,10.0604593774498
"gpm319",14.82,5.55406195398187,0.0622229748417747,2.58421306137433,0.274691527062395,9.17284226152073,0.056921493035671,59.9036511156187,59.4987142049961,60.3085880262413,8.35021957238467,7.73682791525154,9.0122421838523,63.0871862615588,62.603543551204,63.5708289719136,8.67326785093382,7.94999106345637,9.46234714147425
"IDP1447",19.92,3.55538670085955,0.169027585354442,4.80049998863899,0.0906952771509851,6.3633012989306,0.173609876054104,59.676706827312,59.2490826198343,60.1043310347897,12.0449076608509,11.2727295610893,12.869979694998,61.2179616548967,60.782985446571,61.6529378632224,12.2134754354156,11.4285827853937,13.0522729731762
"bnl5.62a",21.12,5.00952375184915,0.0816950492273612,4.60870736931008,0.0998232971375643,6.71334618770637,0.151834467732566,59.7148803329848,59.2787103813028,60.1510502846668,10.4535263035888,9.73146495635828,11.2291636120444,60.9455782312908,60.4887401079397,61.4024163546419,10.4856686819836,9.73081637664615,11.2990774311813
"IDP1464",21.17,5.00952132840492,0.0816951482191189,4.60873117789232,0.0998221088190479,6.71335885118085,0.151833727025711,59.6290650406532,59.1985757232167,60.0595543580896,12.2342562521495,11.4499016272539,13.0723416598608,61.2462612163537,60.8143605882608,61.6781618444466,12.3862981182852,11.5995079519682,13.2264559591947
"fus6",22.62,3.64484108433951,0.161634035044829,3.84221642786836,0.146444580245622,5.02769248934942,0.284467857434283,59.7611111111131,59.354038797472,60.1681834247542,11.0749522038587,10.371487846006,11.82613026587,61.8966376089683,61.4205016985867,62.37277351935,11.1629236268628,10.3448675654587,12.0456702911543
"AY109692",23.62,4.35379145141717,0.113392987785334,4.6095005390922,0.099783716575189,6.10098962784033,0.191732182410549,62.0499999999998,61.6148409318127,62.4851590681869,9.21742535472016,8.53789184199728,9.95104315469555,59.3078470824948,58.8753393567725,59.740354808217,9.4795735812169,8.80626546473101,10.2043613881052
"mmp102",24.42,5.10789170542517,0.0777741743049953,4.64162089611833,0.0981939722332501,6.95787520421856,0.13813114400829,59.3109947643999,58.8723192347898,59.7496702940099,12.4179546648664,11.6136968023519,13.2779080324748,62.672149122809,62.2392003078524,63.1050979377656,11.9912507315845,11.1971437772204,12.8416761424689
"AY110314",29.42,6.32837577008515,0.0422484384746191,4.93499182135513,0.084796932458453,8.42724275354915,0.0771235436010033,59.9746070133022,59.5265785514441,60.4226354751603,7.70254160229784,7.06036128245147,8.40313190241292,61.1522748375127,60.7299894929706,61.5745601820547,8.16438296636829,7.56473266855707,8.81156706285023
"umc94a",38.62,3.71955956404786,0.15570691605461,2.44363876402489,0.294693518800786,5.25195994224009,0.26240782998196,59.3981042654032,58.9216838964574,59.8745246343489,10.5879992414422,9.8068218015547,11.4314025690777,61.08504398827,60.664243463957,61.5058445125831,10.3253009827171,9.63094957034116,11.0697122443682
"gpm331",38.71,3.37704812866779,0.184792064015838,2.0358138828525,0.361350476919764,4.6235761462998,0.328144956968093,60.2073791348593,59.7404021100297,60.674356159689,11.3621536434352,10.5361188823187,12.2529497682183,61.4243589743583,60.94427634967,61.9044415990466,11.6211460018368,10.7731604155695,12.5358789052124
"lim179",47.02,4.79870516587556,0.0907767046564882,4.4710166211739,0.106937758440743,6.34287926773485,0.174963408414285,60.2231075697214,59.7969582089014,60.6492569305414,11.7512405181712,10.993376782288,12.5613500247163,60.3155136268347,59.8798829259001,60.7511443277693,11.7119550061368,10.9377442928569,12.5409669848795
"IDP755",52.47,6.12690307143944,0.0467261396329467,5.39700890017687,0.0673060971341275,8.28253191045042,0.0817600442512972,59.3562992125988,58.9334075427908,59.7791908824067,12.9543649959881,12.1548234901214,13.8065001590249,61.5464025026072,61.1035597759185,61.989245229296,13.1760754391308,12.3398031832449,14.0690221229293
"AY107629",54.63,1.81144671102949,0.404249363310865,0.691808923046385,0.707580085000891,2.5121732696372,0.642457315164378,59.5678391959811,59.1414397669566,59.9942386250056,12.5643549721845,11.7724954652154,13.409477738471,61.2190580503845,60.7740125618313,61.6641035389377,12.5618653388536,11.7365423162061,13.4452257351466
"mmp49",56.12,5.89270309289693,0.0525310137110176,4.55996580430354,0.102285955570331,7.57296143805377,0.108534705387024,59.972945891782,59.5480623169599,60.3978294666042,9.78400703327364,9.10367957263968,10.5151760739522,61.7214885954365,61.2410229584315,62.2019542324416,10.0680698199259,9.30435913092751,10.8944666121027
"cdo1081a",57.82,6.48511542054808,0.0390638531957613,4.66346897446412,0.097127135128391,8.26430970024425,0.0823621550965291,59.3678606001934,58.9512903413887,59.7844308589981,11.2639038433994,10.5375933759833,12.0402757315077,61.9529964747353,61.4855681985147,62.4204247509559,11.457842213221,10.6465711422593,12.3309323188544
"asg31",65.22,4.1531029406092,0.125361781457206,7.15425690782891,0.0279558596459348,8.44812457076756,0.0764753378974242,60.1228893058162,59.7319220819462,60.5138565296861,10.3660312047345,9.69720711355203,11.0809846257032,61.2917964693666,60.8371385816373,61.7464543570959,11.3643651483346,10.5942355987669,12.1904779274226
"npi415",66.02,0.848669830622704,0.654204742029392,3.58240581129429,0.166759453081859,4.07157563084657,0.396405798849579,59.8600000000008,59.4555806075406,60.2644193924611,10.5595656090666,9.86172708849631,11.3067847904908,60.6907216494854,60.2158671898663,61.1655761091045,11.5044415391409,10.6926652512486,12.3778470584831
"ufg31",71.62,4.41611170361276,0.109914130286019,9.13517255447212,0.010382991158098,10.6486442830015,0.0308098977861128,61.5321637426905,61.0947436708523,61.9695838145287,8.62792249046549,7.95759242747303,9.35471968185726,60.0323501427217,59.5916231161089,60.4730771693345,9.47492394379349,8.80836304957453,10.1919259271457
"gpm330",71.91,4.38737816284964,0.111504639238782,9.0279143361424,0.0109550234203197,10.5566104720755,0.0320260655646748,60.94243792325,60.5347331639747,61.3501426825253,8.31359900564519,7.68075665550852,8.9985832811271,61.6851851851846,61.2367314862569,62.1336388841123,9.37499023498762,8.69244857349547,10.1111259000259
"ufg33",72.02,3.53329489423206,0.170904997487213,8.08162806455985,0.01758315333392,9.26145423978214,0.0548864630736696,61.2245614035078,60.7852793259622,61.6638434810534,10.7721228265722,10.0093007167101,11.5930806232084,60.422999999999,59.9775811216668,60.8684188783311,11.7379194920449,10.967222695413,12.5627752648219
"ufg32",72.82,4.21742170415014,0.121394360892369,7.80602161825111,0.0201810585682733,9.10580398250417,0.0585086121791607,61.5352644836275,61.0772315012085,61.9932974660465,10.8642570959764,10.0683016317515,11.7231372841717,60.7256977863334,60.296201459331,61.1551941133358,11.5988515005717,10.8524710896741,12.3965643419516
"ufg34",74.42,4.27682584658002,0.11784171853662,7.77063214013753,0.0205413352340397,9.13525252144843,0.0578063028928594,60.125776397516,59.6115129918168,60.6400398032153,11.361371736793,10.4534568508051,12.3481418236932,60.4601593625503,60.005628778342,60.9146899467587,12.4718893616322,11.6671067749969,13.3321848551298
"AY108650",77.57,1.02024214830054,0.600422878721461,6.17124947085052,0.0457014736502713,7.19925025596765,0.125726002685762,62.2170160295912,61.7864501630886,62.6475818960937,9.35561760061404,8.64750453134639,10.1217155043562,61.2640099626381,60.7867901483264,61.7412297769499,10.2098317513719,9.43337444612109,11.0501989491347
"gpm495",80.45,2.8757707772367,0.237429298911709,9.94167696730511,0.00693732875864657,10.5558734937338,0.0320359886163023,61.1014084507052,60.6562331449211,61.5465837564893,8.06771272283421,7.38148257883864,8.81773923910304,61.8997020854032,61.4603536667399,62.3390505040664,9.24682904038963,8.58174096336693,9.96346168769079
"gpm83b",80.75,3.70061044844612,0.157189181045209,10.1004457219033,0.00640790521525951,11.0707692250397,0.0257800739511959,61.1302631578943,60.6880271569606,61.5724991588281,9.31336536215019,8.58629500127077,10.1020025932095,61.4781634938406,61.0193320940716,61.9369948936096,10.3428845955408,9.59567558920463,11.1482782803772
"gpm767",80.94,4.06625250616152,0.130925574203722,10.2091606899094,0.00606888521914258,11.4048149291646,0.0223720989374425,61.1342925659479,60.7153297431337,61.5532553887621,9.06411025037729,8.38137570217163,9.80245935159635,61.6905016008545,61.2401542037908,62.1408489979181,10.1725950789819,9.44812354008399,10.9526182846681
"bnlg1014",81.12,3.99362521124855,0.13576733835648,11.2964581946133,0.00352375147373578,12.4213297532834,0.0144783085209986,60.800931315485,60.3778288198955,61.2240338110744,9.64979488142629,8.94561260363498,10.4094091013692,60.7401646843568,60.3081584152387,61.1721709534749,10.9591045880456,10.2471150568,11.7205645399699
"umc1363a",82.02,4.01284009194103,0.13446920759427,11.5149868659071,0.00315901997823828,12.6694180991604,0.0130092933373745,60.188374596339,59.7841366495482,60.5926125431298,6.46232518530129,5.91621689747071,7.0588430959036,60.0040983606545,59.536417279229,60.4717794420801,7.33511834250824,6.72972092280688,7.99497656972079
"gst12",83.52,0.0347313241593215,0.98278425199003,7.81411207439846,0.0200995864812831,7.85114204757121,0.0971857860787489,60.4805194805209,60.0410526539042,60.9199863071376,10.2101774383067,9.44812406901669,11.033695425695,60.7636837532594,60.3401310691726,61.1872364373463,11.8921117119608,11.1610571886506,12.6710506522236
"umc1269",84.62,0.161187211892054,0.922568541640709,7.85850517950559,0.019658359923286,7.97707399864582,0.0924216223997005,60.8069129916564,60.3929864735287,61.2208395097842,9.67870670708908,8.97446504852441,10.4382114159834,60.6552655265523,60.2184922919076,61.0920387611971,11.5577983433954,10.8234079268127,12.3420186552953
"umc2012",85.72,0.304354026013321,0.858836242099669,4.19205018732674,0.122944149767113,4.54705495688269,0.337004385497375,60.1432225063933,59.6872920398316,60.5991529729549,8.73915997665296,8.03534403764628,9.50462316731172,60.9105090311981,60.5085547077874,61.3124633546087,9.48020101271336,8.8633726122106,10.1399563319313
"umc1977",87.52,5.20096547367614,0.0742377322748083,7.24454007239028,0.0267219478018386,9.49724678586738,0.0498038505971805,59.3688118811885,58.9266314653317,59.8109922970454,10.9042779648218,10.1211298835946,11.7480241140695,61.2323717948723,60.8357323482279,61.6290112415167,12.0824243286089,11.3791483148924,12.8291655593858
"IDP553",88.91,4.07539352099966,0.130328543301869,11.0425017802505,0.00400084019917747,12.2318991972484,0.0157075952194275,60.0494791666678,59.6079739307469,60.4909844025887,9.65829871347432,8.91859417862674,10.4593540383584,60.6553438276729,60.2392848085079,61.071402846838,11.2323131981142,10.5406213375631,11.9693949474233
"IDP4043",89.33,4.03383639855358,0.133064913383321,10.9133480059884,0.00426772661155306,12.0633834504887,0.0168861012836758,60.0604534005031,59.6152239090887,60.5056828919175,9.96334056596294,9.21502404647845,10.7724249804099,60.7015926236372,60.288194356627,61.1149908906473,11.207007657439,10.5154220670654,11.9440779298122
"php20603",90.02,0.561148871079727,0.755349717085629,8.45102700087813,0.0146178265216932,8.82960496430084,0.0655025583437888,59.6715039577836,59.2294046211066,60.1136032944605,10.9257413359828,10.1270934059212,11.787372640506,60.1892156862744,59.738892496643,60.6395388759059,12.8175397367173,12.0056619951248,13.6843203622625
"sgb101",90.74,3.63109614592348,0.162748685787943,13.9007590186259,0.000958271411751547,15.1140222239521,0.00447047705669766,60.9187956204366,60.5002219613449,61.3373692795282,10.5699548623847,9.88164271498459,11.3062118329204,59.5076201641252,59.0684641850233,59.9467761432271,9.86149734558434,9.13679960290496,10.6436754797651
"IDP1437",91.9,4.04407573095226,0.132385406352754,11.9452116340896,0.00254759419764959,13.0868629736934,0.0108590732523276,60.4547413793112,60.0527422448454,60.8567405137769,11.329782864026,10.5876874747016,12.1238920257792,60.4372049102935,59.9851020959994,60.8893077245876,13.5347206210871,12.7030659266517,14.4208227642542
"IDP847",93.03,4.19537426139728,0.122739981751331,9.03957885468486,0.0108913168406379,10.3139386387352,0.0354587703336331,59.5935288169858,59.1794876200278,60.0075700139437,12.0973028397124,11.3307714375606,12.915690410151,61.2895791583155,60.8422678224951,61.7368904941359,13.098156307786,12.2718368454229,13.9801156765854
"gpm125",96.14,4.10250544438175,0.128573735487844,8.94511095557366,0.0114180998354692,10.1775030626433,0.0375414931509423,61.0772946859897,60.6497259620534,61.5048634099259,8.675054674926,8.00226321001495,9.40441118192299,61.6715410573672,61.2062905164877,62.1367915982467,9.61930754269,8.8983322886505,10.3986988347101
