"","X","SNP.Name","Position..cM.","Mean.LOD","Mean.P.Value","Variance.LOD","Variance.P.Value","Joint.LOD","Joint.P.Value","Mean.Est.Intercept","Mean.SE.Intercept","Var.Est.Intercept","Var.SE.Intercept","Mean.Est.QTL","Mean.SE.QTL","Var.Est.QTL","Var.SE.QTL","Mean.Est.Env","Mean.SE.Env","A.Mean.Est","A.Mean.Lower.Bound","A.Mean.Upper.Bound","A.Standard.Deviation.Est","A.Standard.Deviation.Lower.Bound","A.Standard.Deviation.Upper.Bound","B.Mean.Est","B.Mean.Lower.Bound","B.Mean.Upper.Bound","B.Standard.Deviation.Est","B.Standard.Deviation.Lower.Bound","B.Standard.Deviation.Upper.Bound"
"1",1,"gpm27",0.01,10.9808149923149,0.000920599360734797,4.26304980960314,0.0389499336880055,15.1575140724583,0.000511196226678954,60.2309708251451,0.44706716968874,5.85837036820432,0.0592474434859376,-1.1644070204877,0.163210041228244,-0.0773718497622661,-0.0773718497622661,0.912401471576894,0.0725661902093634,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572,61.4953998584572
"2",2,"tub1",0.81,8.59591045981754,0.00336918729893476,5.78847101014891,0.0161316136893046,14.4682812091312,0.000721527111005155,60.1321527728035,0.448673953821238,5.8719570341191,0.0607745413528493,-1.02227032345186,0.161968246073991,-0.0897123068995601,-0.0897123068995601,0.907762170509405,0.0725382513741409,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147,62.7476158038147
"3",3,"gpm113b",0.82,8.5692373229869,0.00341890342057983,5.80811239723657,0.0159524080600782,14.4654753443234,0.00072254007516343,60.1308388018296,0.448682794388653,5.87211790713006,0.0613024057035509,-1.02045999156844,0.161932419364389,-0.0898575231415592,-0.0898575231415592,0.907697029534846,0.0725376865286674,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518,61.1827361563518
"4",4,"gpm705a",0.84,8.74840039497306,0.00309873745200177,6.12870827696617,0.0133004011513146,14.9483483035247,0.000567554287856777,60.1463984725907,0.448466661454525,5.87509801097779,0.0597896704224734,-1.03514444614804,0.162522284970452,-0.0928534264335729,-0.0928534264335729,0.906178090348776,0.0725187705107959,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601,63.329563812601
"5",5,"gpm325a",4.97,7.67318350095662,0.00560474862033773,10.0280284556335,0.00154175972835984,17.71369741976,0.00014240311134674,60.1126547944004,0.449213345326039,5.89965044065474,0.0596333961896824,-0.970594936904292,0.162721867866638,-0.118482190746573,-0.118482190746573,0.902062906384362,0.0723508754575701,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113,62.3943823445113
"6",6,"dmt103b",6.89,8.18334700528869,0.00422766841314549,10.7349887963672,0.00105128638854136,19.0303959827256,7.3722833394174e-05,60.1546795103753,0.449436146876793,5.90397703054346,0.0591070564633598,-1.00453237873788,0.163033475301123,-0.122381437832727,-0.122381437832727,0.900983896366661,0.072299225667184,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251,63.0801064144251
"7",7,"gpm699d",8.67,8.62563427958126,0.00331465004642799,10.4883035923984,0.00120132621860554,19.12513469004,7.03120514460395e-05,60.1805113897175,0.449469633829006,5.90279651003948,0.0600041884425773,-1.03557304376314,0.163703326419398,-0.121258158062317,-0.121258158062317,0.901709845628803,0.0723053633385134,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486,62.0770160072486
"8",8,"gpm319",14.82,11.3436392210398,0.00075706821987964,13.8322018339753,0.000199881014126292,25.8049292754943,2.49190111763738e-06,60.480491374109,0.454747577865717,5.92921445200748,0.0593928461215689,-1.21447469728872,0.167042149857412,-0.141781510787537,-0.141781510787537,0.895217235618266,0.0720508662694515,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576,62.169930875576
"9",9,"IDP1447",19.92,0.0310562715154726,0.860114905481302,15.5366217999305,8.09222716033819e-05,15.5678037737018,0.000416384316328099,59.0819389809251,0.441857282467253,5.9016696241237,0.0584899545126822,0.0609858091583197,0.161149185658874,-0.147816777929493,-0.147816777929493,0.892363664003802,0.072200827853526,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175,63.445623342175
"10",10,"bnl5.62a",21.12,0.0232627155308818,0.878775873238661,14.7864267213836,0.000120398995288974,14.8078472119006,0.000608859145032784,59.0826994716602,0.44115240832606,5.89782668668455,0.0578622702277667,0.0525211963936989,0.160364595123788,-0.143942283045507,-0.143942283045507,0.893799015303087,0.072235968500586,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878,63.1780487804878
"11",11,"IDP1464",21.17,0.0232649398092531,0.878770122720985,14.7865485280824,0.000120391218438728,14.8079707929701,0.000608821524462939,59.0826990934183,0.441152365250879,5.89782696611256,0.0578622916914625,0.0525237051864882,0.160364584006508,-0.143942864583464,-0.143942864583464,0.893798631905846,0.072235962182211,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844,63.3843843843844
"12",12,"fus6",22.62,0.0757960076677482,0.783077508126104,18.3804171002466,1.80907729849606e-05,18.4506950823158,9.85104877181847e-05,59.059172653082,0.443412760497663,5.91519728126782,0.0574505628270239,0.0956877118102326,0.161840450557355,-0.160742799891017,-0.160742799891017,0.889893681781708,0.0720630611015947,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697,62.2698660018697
"13",13,"AY109692",23.62,0.0524763554218381,0.818808927878833,18.5528655027303,1.65256612268442e-05,18.6046657440528,9.12111990313546e-05,59.0753336337044,0.443497744828692,5.91611207787181,0.0580290561952868,0.0798223372409613,0.162257161746053,-0.16193561824682,-0.16193561824682,0.889820776990414,0.0720548795371688,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002,64.6134815346002
"14",14,"mmp102",24.42,0.16094208131418,0.688290642579728,16.8230936830006,4.10309358231793e-05,16.9928244240011,0.000204199681495856,59.3144486320748,0.443281713210355,5.90681546447486,0.0580347766068388,-0.139341563355695,0.161591307830934,-0.154144451803487,-0.154144451803487,0.884698217547104,0.0721467298294095,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265,61.9976407145265
"15",15,"AY110314",29.42,1.02056303707814,0.312385492400063,16.825978207202,4.0968618155996e-05,18.0205167489581,0.000122150291423554,59.4632034433176,0.439691213246742,5.90237210360323,0.0616539252949983,-0.352491556201367,0.162314686145852,-0.156646592199046,-0.156646592199046,0.891530486054328,0.0721266754858031,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976,62.3160685154976
"16",16,"umc94a",38.62,1.45975456526424,0.226969176015646,5.29869786518196,0.0213413727064822,6.82384814529409,0.0329776878269911,59.4521138669391,0.433832903913337,5.84339063255398,0.0591269086896621,-0.428827766053127,0.164954335595642,-0.0918720727250125,-0.0918720727250125,0.897205023808516,0.0727045368432609,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993,63.0424610051993
"17",17,"gpm331",38.71,1.47218473079197,0.225001308519118,5.30750134559319,0.021233788963893,6.84589504951485,0.0326161561888662,59.4548254087232,0.433933849464693,5.84359252891717,0.0591057736567744,-0.430963071085396,0.165070818946614,-0.0919692249770626,-0.0919692249770626,0.897112122363678,0.0727038476508544,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391,63.425540765391
"18",18,"lim179",47.02,6.1826207615476,0.0129011052642664,7.01291256641866,0.00809239261544458,13.2289041851835,0.00134084925605714,59.9016340022916,0.437450548184711,5.86183260403276,0.0585534146366938,-0.866512689203246,0.161566266320139,-0.100882936547952,-0.100882936547952,0.890839238808462,0.072500965470595,62.5759403832505,62.5759403832505,62.5759403832505,62.5759403832505,62.5759403832505,62.5759403832505,62.5759403832505,62.5759403832505,62.5759403832505,62.5759403832505,62.5759403832505,62.5759403832505
"19",19,"IDP755",52.47,10.4731985537397,0.00121118834995775,5.59449970236063,0.0180169558431348,15.9023503864663,0.000352247961870599,60.0766388031793,0.436404127933262,5.85521323938525,0.0589372044335413,-1.1212590818517,0.160540800409884,-0.0896851175624323,-0.0896851175624323,0.897889867258243,0.0725075792163281,62.1361161524501,62.1361161524501,62.1361161524501,62.1361161524501,62.1361161524501,62.1361161524501,62.1361161524501,62.1361161524501,62.1361161524501,62.1361161524501,62.1361161524501,62.1361161524501
"20",20,"AY107629",54.63,10.4733187031394,0.00121110958164515,5.59306605469278,0.0180317069697476,15.9006602834547,0.000352545755348893,60.0766311666871,0.436405244950119,5.85520751082794,0.058940277924882,-1.12128795187643,0.160544181129069,-0.0896758398622543,-0.0896758398622543,0.897897861538956,0.0725075818888566,62.0921428571428,62.0921428571428,62.0921428571428,62.0921428571428,62.0921428571428,62.0921428571428,62.0921428571428,62.0921428571428,62.0921428571428,62.0921428571428,62.0921428571428,62.0921428571428
"21",21,"mmp49",56.12,10.3548780305309,0.00129132997158249,5.83593435880481,0.0157020684675289,16.0129908972862,0.000333290709061185,60.0785849345553,0.436584627973702,5.8566715942495,0.0586359701157149,-1.11427366178188,0.160446501101804,-0.0915517295550868,-0.0915517295550868,0.897049180243024,0.0724994919907165,62.7858711566618,62.7858711566618,62.7858711566618,62.7858711566618,62.7858711566618,62.7858711566618,62.7858711566618,62.7858711566618,62.7858711566618,62.7858711566618,62.7858711566618,62.7858711566618
"22",22,"cdo1081a",57.82,10.3706859366899,0.00128031969831052,5.80475011587493,0.0159829389188843,16.0020843793483,0.000335113194335299,60.078326777163,0.436557970928405,5.85648840594619,0.0586704919821443,-1.11495373699307,0.16042226532415,-0.0913077037112134,-0.0913077037112134,0.897154292369693,0.072500584239881,62.0191791331032,62.0191791331032,62.0191791331032,62.0191791331032,62.0191791331032,62.0191791331032,62.0191791331032,62.0191791331032,62.0191791331032,62.0191791331032,62.0191791331032,62.0191791331032
"23",23,"asg31",65.22,5.84960304315092,0.0155805653170477,0.537147780759935,0.463617188207333,6.33398719600737,0.0421300676181788,59.7020906666738,0.433818777961321,5.80715834354403,0.0577529927159047,-0.849034153347348,0.163102763692158,-0.0278308525395471,-0.0278308525395471,0.916335419775755,0.0728837276976556,62.3431952662722,62.3431952662722,62.3431952662722,62.3431952662722,62.3431952662722,62.3431952662722,62.3431952662722,62.3431952662722,62.3431952662722,62.3431952662722,62.3431952662722,62.3431952662722
"24",24,"npi415",66.02,5.85201084975129,0.0155592624903655,0.539751021118811,0.462535929680431,6.33886374420876,0.0420274680991508,59.7026142295163,0.433838817356822,5.80722108257179,0.0577646792859602,-0.849402717395477,0.16313944741591,-0.0279024138273735,-0.0279024138273735,0.916321733296879,0.0728835458075176,61.9465558194774,61.9465558194774,61.9465558194774,61.9465558194774,61.9465558194774,61.9465558194774,61.9465558194774,61.9465558194774,61.9465558194774,61.9465558194774,61.9465558194774,61.9465558194774
"25",25,"ufg31",71.62,0.417176150989214,0.518349463721691,0.0262425031418369,0.871309492041934,0.440705382695744,0.802235806433198,58.8173545006638,0.429772532865623,5.78160202689449,0.0561110099966815,0.234214423397275,0.168896777988606,-0.00633208905571396,-0.00633208905571396,0.922210585949699,0.073033121229207,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381
"26",26,"gpm330",71.91,0.416188062252152,0.518845281758342,0.0260699641445943,0.87172957066184,0.439556902473459,0.802696614706481,58.8175519875452,0.429769029447334,5.78159092822836,0.0561094997694166,0.233911631351639,0.168878557406473,-0.00631072116979406,-0.00631072116979406,0.922213371509606,0.0730331569114636,61.8684433164128,61.8684433164128,61.8684433164128,61.8684433164128,61.8684433164128,61.8684433164128,61.8684433164128,61.8684433164128,61.8684433164128,61.8684433164128,61.8684433164128,61.8684433164128
"27",27,"ufg33",72.02,0.418924332362303,0.517474270036044,0.0263489343338818,0.871051071726205,0.442534809626179,0.801502326052106,58.8170385477086,0.429766980006043,5.78160420569061,0.0561131145378582,0.234683935480141,0.168881610243513,-0.00634438720901786,-0.00634438720901786,0.922208122562118,0.0730330618155707,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381,63.8699763593381
"28",28,"ufg32",72.82,0.423238716661242,0.515325395710746,0.0273019583812744,0.868760558430991,0.447616909261516,0.799468254146143,58.8164187946272,0.429744403924817,5.78165298976734,0.0561180174834966,0.235946520152667,0.168920141935417,-0.0064616505734296,-0.0064616505734296,0.922180398630972,0.0730328494234833,63.9495478343646,63.9495478343646,63.9495478343646,63.9495478343646,63.9495478343646,63.9495478343646,63.9495478343646,63.9495478343646,63.9495478343646,63.9495478343646,63.9495478343646,63.9495478343646
"29",29,"ufg34",74.42,0.438842653972648,0.507681586556625,0.0319662532076917,0.858101743145546,0.467420807109026,0.79159102465198,58.8139630739509,0.429737696895452,5.78192208532018,0.0561604488733972,0.24045856026711,0.169057197260067,-0.00700145047720908,-0.00700145047720908,0.922070454960774,0.0730320607956841,63.6729927007299,63.6729927007299,63.6729927007299,63.6729927007299,63.6729927007299,63.6729927007299,63.6729927007299,63.6729927007299,63.6729927007299,63.6729927007299,63.6729927007299,63.6729927007299
"30",30,"AY108650",77.57,1.78821423919764,0.181143891564424,0.0254854465330105,0.873163392140131,1.80740670004253,0.405066774555141,58.6197083001568,0.430914138371417,5.77972197351747,0.0628937268097477,0.478607411202479,0.166682171801722,-0.00614220184369855,-0.00614220184369855,0.922527639101557,0.072996050017522,64.4837592031183,64.4837592031183,64.4837592031183,64.4837592031183,64.4837592031183,64.4837592031183,64.4837592031183,64.4837592031183,64.4837592031183,64.4837592031183,64.4837592031183,64.4837592031183
"31",31,"gpm495",80.45,0.12313258393959,0.725661475101078,1.23204755133771,0.267009207351085,1.35242456179012,0.508539553989603,59.1084796982081,0.430785831644313,5.80985768211335,0.0564903883171243,-0.124947423239094,0.165831062575763,-0.0430609293404697,-0.0430609293404697,0.915941935796085,0.0729799933660435,62.8720568636162,62.8720568636162,62.8720568636162,62.8720568636162,62.8720568636162,62.8720568636162,62.8720568636162,62.8720568636162,62.8720568636162,62.8720568636162,62.8720568636162,62.8720568636162
"32",32,"gpm83b",80.75,0.12308409447139,0.725713317025759,1.23401974303945,0.266626715704011,1.35436286599757,0.508046940558256,59.1084896784259,0.43078376357439,5.80987841942042,0.0564894171293008,-0.124909409364815,0.165813216792916,-0.0430918561501838,-0.0430918561501838,0.915935261451531,0.0729799091200198,63.1919521479065,63.1919521479065,63.1919521479065,63.1919521479065,63.1919521479065,63.1919521479065,63.1919521479065,63.1919521479065,63.1919521479065,63.1919521479065,63.1919521479065,63.1919521479065
"33",33,"gpm767",80.94,0.12309534077126,0.725701292159773,1.23429183502803,0.266573999114585,1.35465896716173,0.507971729480643,59.1084927905679,0.430782580993918,5.80988049477441,0.0564889888316376,-0.124912618525858,0.165809917071438,-0.043095516152499,-0.043095516152499,0.915934839816155,0.0729798938998781,62.5371402042711,62.5371402042711,62.5371402042711,62.5371402042711,62.5371402042711,62.5371402042711,62.5371402042711,62.5371402042711,62.5371402042711,62.5371402042711,62.5371402042711,62.5371402042711
"34",34,"bnlg1014",81.12,0.122980241549597,0.725824388711049,1.23410511583195,0.266610173714689,1.35436481698496,0.508046444961911,59.1084419688627,0.430781805949573,5.80987753791058,0.05648965290908,-0.124852856575233,0.165808154373487,-0.0430917579323073,-0.0430917579323073,0.915936165594291,0.0729799057927937,63.1607524583155,63.1607524583155,63.1607524583155,63.1607524583155,63.1607524583155,63.1607524583155,63.1607524583155,63.1607524583155,63.1607524583155,63.1607524583155,63.1607524583155,63.1607524583155
"35",35,"umc1363a",82.02,0.122931493095318,0.725876543808544,0.0251143957232853,0.874082344562467,0.147690928154212,0.928815218068099,58.8900394196606,0.430933295571112,5.78331783524178,0.0563773009174719,0.125031195880179,0.166176597458742,-0.00606947083146071,-0.00606947083146071,0.922367087168077,0.0730413368399912,63.4437846397466,63.4437846397466,63.4437846397466,63.4437846397466,63.4437846397466,63.4437846397466,63.4437846397466,63.4437846397466,63.4437846397466,63.4437846397466,63.4437846397466,63.4437846397466
"36",36,"gst12",83.52,0.672486072446118,0.412186189533042,0.562811624889625,0.453129609265183,1.22115008376252,0.54303850938712,58.8158497666825,0.428482015369975,5.79398722151083,0.0571980854146286,0.2978396291305,0.16902390493056,-0.0295161533491703,-0.0295161533491703,0.915141550120884,0.0729918448665804,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839
"37",37,"umc1269",84.62,0.679582459350865,0.409730539810152,0.469163873497563,0.493372077488231,1.13563222972463,0.566761830877947,58.8115249720151,0.428324211321881,5.79240956802842,0.0574999368802367,0.300478831473929,0.169635264271625,-0.0270007828267262,-0.0270007828267262,0.915902315399517,0.0729956642869714,63.8550543024227,63.8550543024227,63.8550543024227,63.8550543024227,63.8550543024227,63.8550543024227,63.8550543024227,63.8550543024227,63.8550543024227,63.8550543024227,63.8550543024227,63.8550543024227
"38",38,"umc2012",85.72,0.683369929692962,0.408428710752772,0.381491832311843,0.536805912426839,1.05299031314398,0.590671557355661,58.8081289809368,0.428092048443792,5.7907801758648,0.0578759848643298,0.301778870704441,0.169903417394725,-0.0243704716318583,-0.0243704716318583,0.916670494700151,0.0729994997436203,64.0325765054294,64.0325765054294,64.0325765054294,64.0325765054294,64.0325765054294,64.0325765054294,64.0325765054294,64.0325765054294,64.0325765054294,64.0325765054294,64.0325765054294,64.0325765054294
"39",39,"umc1977",87.52,0.102383458066027,0.748987924856804,0.000249219706903746,0.987404563779069,0.102696012660688,0.949948025076183,58.9066054795334,0.425966823060931,5.77801330019981,0.0552616096107373,0.119266229237222,0.173592620780344,0.000640880206133563,0.000640880206133563,0.922852113704081,0.0730411049248992,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839,63.5186938002839
"40",40,"IDP553",88.91,0.0221317881280571,0.881737045873909,0.249264840043807,0.617593202471233,0.271345801935719,0.873128185168474,59.0099284833616,0.426782037858932,5.76687035382016,0.0548750877858569,-0.0552050475293905,0.172898168690693,0.0197255287575577,0.0197255287575577,0.924516194277806,0.0730321596788957,63.2432175154688,63.2432175154688,63.2432175154688,63.2432175154688,63.2432175154688,63.2432175154688,63.2432175154688,63.2432175154688,63.2432175154688,63.2432175154688,63.2432175154688,63.2432175154688
"41",41,"IDP4043",89.33,0.0163042976110236,0.898395663010406,0.333320768666733,0.563710210929279,0.349661844920616,0.839598966096501,59.006865576247,0.42739202370403,5.76435701031497,0.0549597660194056,-0.0475271273744797,0.173448936819473,0.0228928987576442,0.0228928987576442,0.92423378073268,0.0730287888765737,63.2179487179487,63.2179487179487,63.2179487179487,63.2179487179487,63.2179487179487,63.2179487179487,63.2179487179487,63.2179487179487,63.2179487179487,63.2179487179487,63.2179487179487,63.2179487179487
"42",42,"php20603",90.02,0.00972342776202262,0.921449960380394,0.119932719602276,0.729107472001841,0.130420848448424,0.936870302427835,58.9494712497113,0.42732194872643,5.77050731520945,0.0548111554618937,0.0370879277066188,0.175276609112651,0.0140016781034761,0.0140016781034761,0.924402526682493,0.0730402650024094,63.2131495227996,63.2131495227996,63.2131495227996,63.2131495227996,63.2131495227996,63.2131495227996,63.2131495227996,63.2131495227996,63.2131495227996,63.2131495227996,63.2131495227996,63.2131495227996
"43",43,"sgb101",90.74,0.00184043488790535,0.965781017524238,0.093712351342765,0.759509678119887,0.0953720658296798,0.953433086697057,58.9866819223203,0.427993231850192,5.77176965904329,0.0548327021907633,-0.0159318049232116,0.172957585747035,0.0122038522415988,0.0122038522415988,0.924067611624557,0.0730408518244129,63.4317524580683,63.4317524580683,63.4317524580683,63.4317524580683,63.4317524580683,63.4317524580683,63.4317524580683,63.4317524580683,63.4317524580683,63.4317524580683,63.4317524580683,63.4317524580683
"44",44,"IDP1437",91.9,0.355285064256328,0.55113652285104,3.84440816937229,0.0499121336851148,4.18780490630435,0.123205393164844,58.9149488497438,0.435494688901731,5.83309142735193,0.0570076580842325,0.206807978049052,0.161424582333991,-0.0741134665617934,-0.0741134665617934,0.901632731057723,0.0728205621490683,63.7060550458715,63.7060550458715,63.7060550458715,63.7060550458715,63.7060550458715,63.7060550458715,63.7060550458715,63.7060550458715,63.7060550458715,63.7060550458715,63.7060550458715,63.7060550458715
"45",45,"IDP847",93.03,0.616689848535653,0.432280025246848,4.80473535958163,0.0283816254860249,5.42451239389328,0.0663868557978773,58.8674460417028,0.437260821813375,5.8403806961674,0.0580103653024659,0.274446564261538,0.162585483143598,-0.0831097124156525,-0.0831097124156525,0.898531400702723,0.072760397216056,63.9575471698113,63.9575471698113,63.9575471698113,63.9575471698113,63.9575471698113,63.9575471698113,63.9575471698113,63.9575471698113,63.9575471698113,63.9575471698113,63.9575471698113,63.9575471698113
"46",46,"gpm125",96.14,0.606835183037919,0.435981914112237,4.81071954423213,0.0282832332951991,5.42092461448027,0.0665060533768302,58.8693527752775,0.437276061100624,5.84047927629087,0.058039964024506,0.272275700989009,0.162603684404932,-0.083185622058293,-0.083185622058293,0.898526115056676,0.0727602628016484,62.7064319080129,62.7064319080129,62.7064319080129,62.7064319080129,62.7064319080129,62.7064319080129,62.7064319080129,62.7064319080129,62.7064319080129,62.7064319080129,62.7064319080129,62.7064319080129
"47",47,"lls1",97.12,0.8769285781563,0.349044299267026,5.51167430385302,0.0188899554932927,6.36483772716746,0.0414851866531402,58.8285172823583,0.437819983063017,5.84481463465506,0.0612777317053125,0.323750416267021,0.160834937885014,-0.0882909812792567,-0.0882909812792567,0.896658752677812,0.0727138771033037,64.3979554581965,64.3979554581965,64.3979554581965,64.3979554581965,64.3979554581965,64.3979554581965,64.3979554581965,64.3979554581965,64.3979554581965,64.3979554581965,64.3979554581965,64.3979554581965
"48",48,"php20689",99.42,0.876715142694411,0.349102956492045,5.51614239252245,0.0188417637957226,6.36916899603795,0.0413954421163762,58.8285648462689,0.437831257705407,5.84485084323685,0.061304414825702,0.323760016068133,0.160859222271978,-0.0883382268442352,-0.0883382268442352,0.896644897782594,0.0727137279400099,63.8502220427937,63.8502220427937,63.8502220427937,63.8502220427937,63.8502220427937,63.8502220427937,63.8502220427937,63.8502220427937,63.8502220427937,63.8502220427937,63.8502220427937,63.8502220427937
"49",49,"umc1685",101.32,1.23674544208737,0.266099209633145,5.28486559600423,0.0215115525105118,6.44536919684015,0.0398479388250419,58.7741691727603,0.437333026807987,5.8421845709924,0.0592038717229499,0.387387037386466,0.162039771957052,-0.0870330960651579,-0.0870330960651579,0.896819654685404,0.0727170540414375,64.0007007708479,64.0007007708479,64.0007007708479,64.0007007708479,64.0007007708479,64.0007007708479,64.0007007708479,64.0007007708479,64.0007007708479,64.0007007708479,64.0007007708479,64.0007007708479
"50",50,"gpm557b",106.62,3.27989720362462,0.0701333215969529,7.20417112140737,0.00727343339638071,10.4005965382791,0.00551491924520242,58.6102281776819,0.436422838484834,5.84808483242991,0.0578725947504802,0.625957956654155,0.160698171580232,-0.101167651003241,-0.101167651003241,0.886764748113748,0.0725565547632734,63.4801943198804,63.4801943198804,63.4801943198804,63.4801943198804,63.4801943198804,63.4801943198804,63.4801943198804,63.4801943198804,63.4801943198804,63.4801943198804,63.4801943198804,63.4801943198804
